Comune,Regione,Media Incidenti,Media Feriti,Media Morti,Media Superficie(Kmq),Media Popolazione,Incidenti_Pro_Capite_1000,Lesività_Pro_Capite_1000,Densità_Incidenti_Kmq
Acqualagna,Marche,11.272727272727273,18.09090909090909,0.18181818181818182,50.6846,4301.545454545455,2.6206226092102205,4.247944713316566,0.2224093170850174
Acquanegra Cremonese,Lombardia,2.1818181818181817,3.272727272727273,0.18181818181818182,9.216063636363636,1160.090909090909,1.8807303502860278,2.9778230546195443,0.23674078955026154
Acquanegra sul Chiese,Lombardia,4.636363636363637,6.454545454545454,0.18181818181818182,28.01430909090909,2820.4545454545455,1.6438356164383563,2.352941176470588,0.16549983871878463
Acquapendente,Lazio,9.272727272727273,16.09090909090909,0.45454545454545453,131.6022,5360.090909090909,1.7299570902800157,3.086786180695714,0.07046027553283511
Acquappesa,Calabria,3.3,6.3,0.2,14.431970000000002,1793.7,1.8397725372135807,3.6237943914812956,0.228659011902048
Acquarica del Capo,Puglia,3.2,6.8,0.2,18.699,4677.4,0.6841407619617736,1.4965579167913798,0.17113214610406974
Acquaro,Calabria,0.3,0.5,0.0,25.2495,2080.4,0.14420303787733127,0.24033839646221877,0.011881423394522663
Acquasanta Terme,Marche,6.090909090909091,9.545454545454545,0.6363636363636364,138.3914,2674.818181818182,2.277130136287938,3.8065458994664034,0.04401219361108487
Acquasparta,Umbria,6.090909090909091,7.636363636363637,0.45454545454545453,81.60576363636363,4548.727272727273,1.3390358941562075,1.7787193220880966,0.07463822185465065
Acquaviva Collecroce,Molise,0.0,0.0,0.0,28.5993,617.9,0.0,0.0,0.0
Acquaviva Picena,Marche,5.0,6.454545454545454,0.09090909090909091,21.05636363636364,3721.6363636363635,1.3434950412819386,1.7587571449509012,0.23745790518953455
Acquaviva Platani,Sicilia,1.3,2.3,0.3,14.63336,908.7,1.4306151645207439,2.8612303290414873,0.08883810690094415
Acquaviva d'Isernia,Molise,0.2,0.7,0.0,13.513900000000001,398.2,0.5022601707684581,1.7579105976896032,0.014799576732105461
Acquaviva delle Fonti,Puglia,42.09090909090909,63.18181818181818,1.3636363636363635,132.02427272727274,20237.909090909092,2.0798052260159827,3.18933414788628,0.31881189891390493
Acquedolci,Sicilia,5.7272727272727275,8.0,0.09090909090909091,12.942654545454547,5572.454545454545,1.02778276261481,1.4519470773447316,0.4425114420815738
Acqui Terme,Piemonte,43.54545454545455,54.09090909090909,0.5454545454545454,33.29666363636364,19559.272727272728,2.2263330110805386,2.793373986762847,1.3078023378263668
Acri,Calabria,9.818181818181818,17.636363636363637,0.45454545454545453,200.62726363636364,19739.545454545456,0.49738641858751464,0.916480530545513,0.04893742575274937
Acuto,Lazio,2.4545454545454546,5.181818181818182,0.18181818181818182,13.466199999999999,1877.1818181818182,1.3075693738195553,2.8572812242723615,0.18227454326725095
Adelfia,Puglia,29.454545454545453,47.36363636363637,0.5454545454545454,29.813936363636365,16760.18181818182,1.757412048035929,2.8585066336880702,0.9879455398070395
Adrano,Sicilia,33.09090909090909,58.09090909090909,0.45454545454545453,83.22083636363637,34421.09090909091,0.9613556170635339,1.7008599378816371,0.39762769201594184
Adrara San Martino,Lombardia,2.5,4.1,0.1,12.60547,2193.0,1.1399908800729595,1.9151846785225717,0.19832659948419218
